ここは・・？,PL_Ah,4,0,0
目の前に奇妙な景色が広がっていた。見覚えのある建物やモンスターたちもうろうろしていたし、
なぜだか体が重い気がした。,PL_Ah,4,0,0
ガハハ！！！ギャハハ！！,PL_Ah,8,1,0
うわっっ！！なんだこいつ！？,PL_Ah,4,0,0
オデ、テツオ！！シゴト！オマエミハル！！,PL_Ah,11,1,0
は？？意味わからない！ここはどこなの？？あんた何者？？
詳しく説明して！！,PL_Ah,5,0,0
ウゥウ・・オデ、アタマワルイ・・・イチドニタクサンコタエル、ムリ・・・,PL_Ah,12,1,0
ちょっ・・・大丈夫？？,PL_Ah,4,0,0
目覚めたようだな・・,PL_Ah,13,2,0
誰？！,PL_Ah,5,0,0
（頭の中に声が聞こえる！！）,PL_Ah,5,0,0
我は人の世の監視者。お前たち、人を導く存在。,PL_Ah,13,2,0
？？,PL_Ah,5,0,0
周りに合せることができないオマエは、この世の秩序を乱す
よって、罪人としてこの世界に閉じ込めることにした,PL_Ah,13,2,0
は？？
ふざけないで！！ここから出してよ！！,PL_Ah,3,0,0
出たかったら、反省して従順な人間になるんだな,PL_Ah,13,2,0
うるさい！！絶対嫌だ！！,PL_Ah,3,0,0
ふん・・どんなに喚いても無駄だ・・・,PL_Ah,13,2,0
・・・。テツオ・・・
この罪人に、余計な事をしゃべったら、クビだけじゃすまないからな・・。,PL_Ah,13,2,0
熱い、熱い、溶岩の海に落としてやる・・・肝に銘じておけ・・・,PL_Ah,13,2,0
（こわ・・・）,PL_Ah,14,0,0
ガーン！！ヨウ・・・ガン・・・オデ・・トカサレル・・？,PL_Ah,9,1,0
ふん・・では仕事に戻るとしよう・・・,PL_Ah,13,2,0
おい！！話は、まだ・・・,PL_Ah,5,0,0
好き勝手言いやがって・・・,PL_Ah,3,0,0
それにしても、体が妙にだるい・・・,PL_Ah,14,0,0
あ！そういえば・・,PL_Ah,4,0,0
おいっ鉄球！！,PL_Ah,0,0,0
ナ、ナンデスカ？？,PL_Ah,10,1,0
結局ここはどこなの！？,PL_Ah,5,0,0
ウッ・・・ココハオマエノユメノナカダ・・デス・・・,PL_Ah,10,1,0
私の夢の中？？
うーん・・・
なら、もしかすると・・・,PL_Ah,4,0,0
私は自由！私は自由！私は自由！！,PL_Ah,0,0,0
（私はその場で唱え続けた）,PL_Ah,0,0,0
ナ、ナニシテイルンダ・・・？,PL_Ah,5,1,0
私は自由の身だって、言い聞かせてるの！
だってここは私の夢の中なんでしょ？？
きっと私の気持ちがなんらかの影響を及ぼすはず！！,PL_Ah,1,0,0
お！！やったー！！なんか体が軽くなった気がする！！,PL_Ah,4,0,0
ウソ・・・
エ？・・・エ？・・・
,PL_Ah,9,1,0
さすがにこいつと繋がれている鎖は消えないか・・・,PL_Ah,0,0,0
ウゥゥ・・・オマエ・・ゲンキ二ナッタ・・オデ・・ヨウガンイク？？？,PL_Ah,9,1,0
おい！,PL_Ah,0,0,0
・・・ハイ・・,PL_Ah,5,1,0
さっきの声のあいつ、たたき出すために
この世界ぶっ壊すから、あんたも力貸しなさいよ,PL_Ah,0,0,0
・・・エ？,PL_Ah,4,1,0
強制だから！,PL_Ah,1,0,0
ナ・・ナ・・ナ・・・,PL_Ah,5,1,0
あたしに夢のこと話しちゃったんだから、
どっちしろクビなんでしょ？
,PL_Ah,0,0,0
ウゥ・・・,PL_Ah,9,1,0
それなら最後にひと暴れしたほうがよくない？？,PL_Ah,6,0,0
ワカッタ・・・テツダオウ・・・,PL_Ah,5,1,0
よし！！交渉成立！！ドンドンぶっ壊しちゃおう！！,PL_Ah,1,0,0
ガハハ！！！ギャハハ！！
コワスコワス！！,PL_Ah,8,1,0
