はぁ・・はぁ・・たお・・せた・・？,0,14,0,0
ハァ・・ハァ・・モウ・・ボロボロ・・,0,14,0,0
なんだと・・ボスネークが・・？？,0,8,1,0
やったー！！倒せた！！,0,4,0,0
ギャハハ！！クビバイバイバイ！！！,0,11,1,0
くっ・・・・,0,13,1,0
約束通り私をもとの世界に返しなさい！！,0,3,0,0
オデノクビオ、トリケセェエエ！！,0,8,0,0
・・・はぁ・・・了解した。
約束だからな・・,0,13,0,0
パチンと音がすると、目の前に大きなワープホールが現れた,0,0,0,0
そのワープホールを使ったら、元の世界に戻れる・・・,0,13,2,0
よっしゃー！！これでへんてこな世界とさよならだ！！,0,1,0,0
バイバイバイ・・オデクビ二ナラナイ・・キオツケル・・・,0,7,1,0
じゃあね！！,0,6,0,0
テツオに別れを告げた後、私はワープホールに飛び込んだ,0,0,0,0
・・・,0,11,2,0
我のやり方が間違っていたということか・・・
やれやれ・・最初からやり直しか・・・,0,13,2,0
目が覚めると、そこは見慣れた生徒指導室だった,0,4,0,0
居残りで居眠りとはいい度胸だな？！,0,13,3,0
うわっ,0,4,0,0
まったく、授業は寝るわ、制服は着てこないわ、救いようがないな,0,13,3,0
成績がよくないといい大学にも行けないし、
いい就職先にもつけないんだぞ！！,0,13,3,0
そんなしょうもない考え方するから
私は、授業に出ないんだけど？？,0,5,0,0
成績がいいからって、将来が約束されるわけでもないし,0,5,0,0
この減らず口が・・・,0,13,3,0
じゃーー疲れたからもう帰るね、さようならーーー,0,6,0,0
おい！！ずっと寝てただろうが！！,0,13,3,0
私は教室から飛び出し、家に向かった
おかしな夢を見た気がするが、
なぜだか心は晴れやかだった,0,6,0,0
